표제어	품사	세종태그	어깨번호	뜻풀이	지역
베리다	[동사][방언]	VV	04_00_00	벼리다	4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
베리다	[동사][방언]	VV	05_00_00	부리다	8, 9
베뿌젱이	[명사][방언]	NNG	00_00_00	질경이	6, 8, 9
베신	[명사][방언]	NNG	00_00_00	운동화	8, 9
베짐	[명사][방언]	NNG	00_00_00	버짐	9
베짜이	[명사][방언]	NNG	00_00_00	베짱이	4, 6, 7, 9, 11, 12
벡돌	[명사][방언]	NNG	00_00_00	벽돌	6, 7, 8, 9, 13, 14, 15, 16, 18, 20
벡돌담	[명사][방언]	NNG	00_00_00	벽돌담	9
벡드람	[명사][방언]	NNG	00_00_00	바람벽	8, 9
벤소	[명사][방언]	NNG	00_00_00	변소	4, 5, 6, 7, 9, 11, 14, 15, 16, 18, 19
벤솟간	[명사][방언]	NNG	00_00_00	변소	9, 11, 12, 18
벤탈기	[명사][방언]	NNG	00_00_00	비탈	8, 9
벨로	[부사][방언]	MAG	01_00_00	별로	4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17
벨르다	[동사][방언]	VV	02_00_00	벼리다	8, 9
벨지서리	[명사][방언]	NNG	00_00_00	별짓	8, 9
벨짜	[명사][방언]	NNG	00_00_00	별놈	8, 9
벨쭝맞다	[형용사][방언]	VA	00_00_00	별나다	8, 9
벨축스럽다	[형용사][방언]	VA	00_00_00	별나다	9
벳가리	[명사][방언]	NNG	02_00_00	볏가리	7, 9
벳누리	[명사][방언]	NNG	00_00_00	낟가리	9
벳다발	[명사][방언]	NNG	00_00_00	볏단	9, 11
벳도랑	[명사][방언]	NNG	00_00_00	봇도랑	9
벵	[명사][방언]	NNG	02_00_00	병	4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18
벵	[명사][방언]	NNG	03_00_00	병	4, 6, 8, 9, 10
벵개	[명사][방언]	NNG	00_00_00	병	9, 12
벵마개	[명사][방언]	NNG	00_00_00	병마개	8, 9
벵에	[명사][방언]	NNG	00_00_00	병어	8, 9
벹발	[명사][방언]	NNG	00_00_00	햇발	8, 9
벼너럴	[명사][방언]	NNG	00_00_00	볏가리	9
벼래이	[명사][방언]	NNG	00_00_00	벼랑	9, 11
벼랭이	[명사][방언]	NNG	00_00_00	벼랑	9, 11
벼륙	[명사][방언]	NNG	00_00_00	벼룩	9
벼실	[명사][방언]	NNG	01_00_00	볏	4, 5, 7, 8, 9, 11, 12, 13, 14
벼실	[명사][방언]	NNG	02_00_00	볏	5, 6, 8, 9, 11, 18
별시리	[부사][방언]	MAG	00_00_00	별스레	8, 9
병개	[명사][방언]	NNG	00_00_00	병	9, 12
병빡	[명사][방언]	NNG	00_00_00	벽	9
병잽이	[명사][방언]	NNG	00_00_00	의사	8, 9
보갚이	[명사][방언]	NNG	00_00_00	앙갚음	8, 9
보고채다	[동사][방언]	VV	00_00_00	각치다	8, 9
보깨떡	[명사][방언]	NNG	02_00_00	달떡	8, 9
보꾸다	[동사][방언]	VV	01_00_00	볶다	8, 9
보닥다근하다	[형용사][방언]	VA	00_00_00	깨끗하다	8, 9
보닥타라지다	[동사][방언]	VV	00_00_00	부서지다	8, 9
보도시	[부사][방언]	MAG	00_00_00	간신히	9
보도시	[부사][방언]	MAG	00_00_00	겨우	6, 7, 9
보도씨	[부사][방언]	MAG	00_00_00	간신히	8, 9
보독씨리다	[동사][방언]	VV	00_00_00	부리다	8, 9
보돔기다	[동사][방언]	VV	00_00_00	안기다	6, 9
보돔다	[동사][방언]	VV	00_00_00	보듬다	6, 8, 9
보둠기다	[동사][방언]	VV	00_00_00	안기다	6, 8, 9
보둠다	[동사][방언]	VV	00_00_00	보듬다	6, 8, 9
보둥키다	[동사][방언]	VV	00_00_00	부둥키다	8, 9
보듬허다	[형용사][방언]	VA	00_00_00	넉넉하다	8, 9
보디집비녀	[명사][방언]	NNG	00_00_00	바디집비녀	8, 9
보딩끼다	[동사][방언]	VV	00_00_00	부둥키다	8, 9
보래색	[명사][방언]	NNG	00_00_00	보라색	7, 8, 9, 13, 14, 15, 16, 18, 19, 20
보룸	[명사][방언]	NNG	00_00_00	보름	4, 5, 6, 8, 9, 11, 14, 16, 18, 19
보룻저	[명사][방언]	NNG	00_00_00	보릿겨	9
보르다	[동사][방언]	VV	01_00_00	바르다	6, 7, 8, 9, 16
보르다	[형용사][방언]	VA	02_00_00	바르다	6, 7, 8, 9, 16
보르다	[동사][방언]	VV	03_00_00	바르다	6, 8, 9
보리꺼끄락	[명사][방언]	NNG	00_00_00	보리까락	9
보릿저	[명사][방언]	NNG	00_00_00	보릿겨	8, 9, 11
보망개	[명사][방언]	NNG	00_00_00	모새	9
보삭지	[명사][방언]	NNG	00_00_00	보시기	8, 9, 11
보싱	[명사][방언]	NNG	00_00_00	버선	8, 9
보썽	[명사][방언]	NNG	00_00_00	복숭아	9
보우리	[명사][방언]	NNG	00_00_00	봉우리	6, 7, 8, 9, 11
보지개	[명사][방언]	NNG	00_00_00	보조개	5, 7, 9, 11, 12
보지란	[명사][방언]	NNG	00_00_00	바지런	8, 9
보지란허다	[형용사][방언]	VA	00_00_00	바지런하다	8, 9
보촛대가리	[명사][방언]	NNG	02_00_00	보추때기	8, 9
보풀스럽다	[형용사][방언]	VA	00_00_00	앙칼스럽다	8, 9
복다리기	[명사][방언]	NNG	00_00_00	복다리기	8, 9
복뎅이	[명사][방언]	NNG	00_00_00	복덩이	8, 9
복상뼈	[명사][방언]	NNG	00_00_00	복사뼈	4, 5, 7, 9, 11, 12
복상씨	[명사][방언]	NNG	00_00_00	복사뼈	4, 7, 9, 11, 12
복성삐	[명사][방언]	NNG	00_00_00	복사뼈	8, 9, 18
복성씨	[명사][방언]	NNG	02_00_00	복숭아씨	6, 8, 9
복소아	[명사][방언]	NNG	00_00_00	복숭아	6, 7, 8, 9, 12, 15
복송뻬	[명사][방언]	NNG	00_00_00	복사뼈	9
복송수	[명사][방언]	NNG	00_00_00	복숭아	8, 9
복송시	[명사][방언]	NNG	00_00_00	복숭아	8, 9
복송씨	[명사][방언]	NNG	01_00_00	복사뼈	6, 7, 8, 9, 12
복송씨	[명사][방언]	NNG	02_00_00	복숭아씨	8, 9, 11
복송아	[명사][방언]	NNG	00_00_00	복숭아	4, 6, 7, 9, 11, 12
복송화	[명사][방언]	NNG	00_00_00	복숭아	9
복수아	[명사][방언]	NNG	00_00_00	복숭아	4, 5, 6, 7, 8, 9, 11, 12, 15, 17
복숭	[명사][방언]	NNG	00_00_00	복숭아	4, 6, 7, 8, 9, 11, 12
복쥐	[명사][방언]	NNG	00_00_00	박쥐	8, 9, 17
복지개	[명사][방언]	NNG	01_00_00	보시기	9
복지깨	[명사][방언]	NNG	00_00_02	보시기	9
볶에다	[동사][방언]	VV	00_00_00	볶이다	8, 9
본꼬지	[명사][방언]	NNG	00_00_00	본보기	8, 9
본등본등	[부사][방언]	MAG	00_00_00	본체만체	8, 9
본디기	[명사][방언]	NNG	00_00_00	번데기	9, 17
본때기	[부사][방언]	MAG	01_00_00	본디	8, 9
본때기	[명사][방언]	NNG	02_00_00	본디	8, 9
볼그짝	[명사][방언]	NNG	00_00_00	볼기	9
볼따구	[명사][방언]	NNG	00_00_00	볼따구니	4, 5, 6, 9, 11, 13, 14, 17
볼부다	[동사][방언]	VV	00_00_00	밟다	6, 8, 9
볼싸대기	[명사][방언]	NNG	00_00_00	볼따구니	8, 9
볼쎄로	[부사][방언]	MAG	00_00_00	벌써	8, 9
볿다	[동사][방언]	VV	01_00_00	밟다	6, 8, 9, 10, 15, 16
볿히다	[동사][방언]	VV	00_00_00	밟히다	6, 8, 9
봄버리	[명사][방언]	NNG	00_00_00	봄보리	4, 5, 9, 12
봉늬	[명사][방언]	NNG	00_00_00	자두	4, 5, 6, 7, 8, 9, 10, 11, 12
봉도리	[명사][방언]	NNG	00_00_00	봉우리	4, 7, 9, 11, 12
봉사꼿	[명사][방언]	NNG	00_00_00	봉숭아	8, 9
봉사꽃	[명사][방언]	NNG	00_00_00	봉선화	8, 9, 11, 13, 14
봉송개	[명사][방언]	NNG	00_00_00	봉숭아	9
봉송씨	[명사][방언]	NNG	00_00_00	복사뼈	8, 9
봉숭화	[명사][방언]	NNG	00_00_00	봉선화	8, 9, 15, 16
봉쏭	[명사][방언]	NNG	00_00_00	복숭아	6, 8, 9
봉어리	[명사][방언]	NNG	01_00_00	벙어리	5, 8, 9, 12, 18
봉창	[명사][방언]	NNG	03_00_00	주머니	9, 11, 12
봉채이	[명사][방언]	NNG	00_00_00	주머니	9
봉챙	[명사][방언]	NNG	00_00_00	주머니	9, 11
봍은기침	[명사][방언]	NNG	00_00_00	밭은기침	8, 9
봍은소리	[명사][방언]	NNG	00_00_00	밭은소리	8, 9
뵌체	[명사][방언]	NNG	00_00_00	고운체	9
부껑새	[명사][방언]	NNG	00_00_00	부엉새	8, 9
부껭이	[명사][방언]	NNG	00_00_00	부침개	9
부끄룹다	[형용사][방언]	VA	00_00_00	부끄럽다	4, 6, 7, 8, 9, 12
부닥씨리다	[동사][방언]	VV	00_00_00	부서뜨리다	8, 9
부둘막	[명사][방언]	NNG	00_00_00	아랫목	9
부드랍다	[형용사][방언]	VA	00_00_00	부드럽다	8, 9, 12
부등카래	[명사][방언]	NNG	00_00_00	부삽	8, 9
부딱막	[명사][방언]	NNG	00_00_00	부뚜막	9
부또막	[명사][방언]	NNG	00_00_00	부뚜막	9
부뚜박	[명사][방언]	NNG	00_00_00	부뚜막	9
부뚱	[명사][방언]	NNG	00_00_00	부뚜막	9
부랑이치다	[동사][방언]	VV	00_00_00	법석대다	8, 9
부룸뜨다	[동사][방언]	VV	00_00_00	부릅뜨다	8, 9, 18
부름뜨다	[동사][방언]	VV	00_00_00	부릅뜨다	8, 9
부산나케	[부사][방언]	MAG	00_00_00	부산스레	8, 9
부석	[명사][방언]	NNG	03_00_02	아궁이	6, 7, 8, 9
부석당그래	[명사][방언]	NNG	00_00_00	불고무래	9
부석삽	[명사][방언]	NNG	00_00_00	부삽	9
부섭짝	[명사][방언]	NNG	00_00_00	아궁이	8, 9
부세다	[동사][방언]	VV	01_00_00	부수다	9, 11
부수독	[명사][방언]	NNG	00_00_00	부싯돌	9
부수땡이	[명사][방언]	NNG	00_00_00	부지깽이	8, 9
부수룸	[명사][방언]	NNG	00_00_00	부스럼	8, 9
부수름	[명사][방언]	NNG	00_00_00	부스럼	6, 7, 8, 9
부수목	[명사][방언]	NNG	00_00_00	부스럼	9
부수짖	[명사][방언]	NNG	00_00_00	부싯깃	9
부순먹	[명사][방언]	NNG	00_00_00	부스럼	9
부술목	[명사][방언]	NNG	00_00_00	부스럼	9
부숫독	[명사][방언]	NNG	00_00_00	부싯돌	8, 9
부숫돌	[명사][방언]	NNG	00_00_00	부싯돌	4, 7, 8, 9, 11, 14, 19
부숫짓	[명사][방언]	NNG	00_00_00	부싯깃	8, 9
부스렘	[명사][방언]	NNG	00_00_00	부스럼	7, 9, 13, 14, 16, 19
부스룸	[명사][방언]	NNG	00_00_00	부스럼	6, 7, 8, 9, 11, 12, 18
부슬먹	[명사][방언]	NNG	00_00_00	부스럼	9, 11
부슬멕	[명사][방언]	NNG	00_00_00	부스럼	9
부승무	[명사][방언]	NNG	00_00_00	부스럼	9
부시땅	[명사][방언]	NNG	00_00_00	부지깽이	8, 9
부시러기	[명사][방언]	NNG	00_00_00	부스러기	8, 9
부시레기	[명사][방언]	NNG	03_00_00	부스럼	9
부시룸	[명사][방언]	NNG	00_00_00	부스럼	5, 8, 9, 12
부시먹	[명사][방언]	NNG	00_00_00	부스럼	9
부시짓	[명사][방언]	NNG	00_00_00	부싯깃	4, 5, 8, 9
부시짝	[명사][방언]	NNG	00_00_00	부뚜막	9
부시탱이	[명사][방언]	NNG	00_00_00	부지깽이	8, 9
부실먹	[명사][방언]	NNG	00_00_00	부스럼	9, 11
부실목	[명사][방언]	NNG	00_00_00	부스럼	9, 11
부실묵	[명사][방언]	NNG	00_00_00	부스럼	9
부싯독	[명사][방언]	NNG	00_00_00	부싯돌	8, 9, 11
부싯짓	[명사][방언]	NNG	00_00_00	부싯깃	6, 7, 8, 9, 12
부싸개	[명사][방언]	NNG	00_00_00	불쏘시개	9
부아풀이	[명사][방언]	NNG	01_00_00	분풀이	8, 9, 11, 12
부애풀이	[명사][방언]	NNG	00_00_00	분풀이	8, 9
부어이	[명사][방언]	NNG	00_00_00	부엉이	4, 6, 7, 8, 9, 12, 17, 20
부어잡다	[동사][방언]	VV	00_00_00	부여잡다	8, 9
부어지	[명사][방언]	NNG	00_00_00	뱀장어	9
부억게	[명사][방언]	NNG	00_00_00	아궁이	9, 11, 15, 16
부엌당그래	[명사][방언]	NNG	00_00_00	불고무래	9
부에이	[명사][방언]	NNG	00_00_00	부엉이	6, 7, 8, 9, 15, 20
부웍	[명사][방언]	NNG	00_00_00	부엌	9
부자땡이	[명사][방언]	NNG	00_00_00	부지깽이	8, 9
부저붐	[명사][방언]	NNG	00_00_00	부젓가락	8, 9, 12
부적짝	[명사][방언]	NNG	00_00_00	아궁이	9
부지땅	[명사][방언]	NNG	00_00_00	부지깽이	8, 9
부지땡이	[명사][방언]	NNG	00_00_00	부지깽이	5, 8, 9, 10, 11
부질다	[동사][방언]	VV	00_00_00	분지르다	8, 9
부질르다	[동사][방언]	VV	00_00_00	분지르다	8, 9
부푸다	[형용사][방언]	VA	00_00_00	부프다	8, 9
북디기	[명사][방언]	NNG	00_00_00	북데기	7, 8, 9, 12
북쇠	[명사][방언]	NNG	00_00_00	노을	9
북쉐	[명사][방언]	NNG	00_00_00	노을	9
북시미	[명사][방언]	NNG	02_00_00	북데기	9
북어명태	[명사][방언]	NNG	00_00_00	북어	9
분닥	[명사][방언]	NNG	00_00_00	분별	8, 9
분없다	[동사][방언]	VV	00_00_00	분별없다	8, 9
불곳	[명사][방언]	NNG	00_00_00	불거웃	9, 11, 12, 17
불구먹	[명사][방언]	NNG	00_00_00	아궁이	9
불구수룸하다	[형용사][방언]	VA	00_00_00	볼그스름하다	5, 6, 9
불그딕딕하다	[형용사][방언]	VA	00_00_00	불그죽죽하다	8, 9
불까래	[명사][방언]	NNG	00_00_00	부삽	7, 8, 9, 12
불뚱스럽다	[형용사][방언]	VA	00_00_00	불퉁스럽다	8, 9
불무	[명사][방언]	NNG	01_00_01	풀무	5, 9, 11, 12
불무기	[명사][방언]	NNG	00_00_00	풀무	9
불미재이	[명사][방언]	NNG	00_00_00	대장장이	8, 9
불숟갈	[명사][방언]	NNG	00_00_00	부손	9, 12
불숟구락	[명사][방언]	NNG	00_00_00	부손	9, 10
불쌍히다	[형용사][방언]	VA	00_00_00	불쌍하다	9
불잉그락	[명사][방언]	NNG	00_00_00	불잉걸	9
불작대기	[명사][방언]	NNG	00_00_00	부지깽이	8, 9
불잘개	[명사][방언]	NNG	00_00_00	불쏘시개	9
불저금	[명사][방언]	NNG	00_00_00	부젓가락	8, 9
불저범	[명사][방언]	NNG	00_00_00	부젓가락	8, 9
불저분	[명사][방언]	NNG	00_00_00	부젓가락	8, 9
불저붐	[명사][방언]	NNG	00_00_00	부젓가락	8, 9
불젓가락	[명사][방언]	NNG	00_00_00	부젓가락	5, 6, 7, 9, 11, 12
불젓고락	[명사][방언]	NNG	00_00_00	부젓가락	9
불젯그락	[명사][방언]	NNG	00_00_00	부젓가락	8, 9
불짓그락	[명사][방언]	NNG	00_00_00	부젓가락	8, 9
불찝개	[명사][방언]	NNG	00_00_00	부젓가락	8, 9
불퉁시럽다	[형용사][방언]	VA	00_00_00	퉁명스럽다	8, 9
붏다	[동사][방언]	VV	00_00_00	붇다	8, 9
붓감자	[명사][방언]	NNG	00_00_00	감자	9
붓뚜벙	[명사][방언]	NNG	00_00_00	붓두껍	8, 9
붝	[명사][방언]	NNG	00_00_00	아궁이	9, 12
붝정지	[명사][방언]	NNG	00_00_00	부엌	9
붝짝	[명사][방언]	NNG	00_00_00	아궁이	9, 11
붝칼	[명사][방언]	NNG	00_00_00	부엌칼	8, 9, 11
붤	[명사][방언]	NNG	01_00_00	벌	4, 5, 9, 11, 12
붤	[명사][방언]	NNG	02_00_00	벌	4, 5, 9, 12, 17
브스룸	[명사][방언]	NNG	00_00_00	부스럼	8, 9
븟	[명사][방언]	NNG	00_00_00	붓	9
비개속	[명사][방언]	NNG	00_00_00	베갯속	8, 9
비개창	[명사][방언]	NNG	00_00_00	베갯잇	9
비개호청	[명사][방언]	NNG	00_00_00	베갯잇	9, 12
비개혼지	[명사][방언]	NNG	00_00_00	베갯잇	9
비개홑니	[명사][방언]	NNG	00_00_00	베갯잇	8, 9
비갯니	[명사][방언]	NNG	00_00_00	베갯잇	8, 9
비갯속	[명사][방언]	NNG	00_00_00	베갯속	8, 9
비갯예	[명사][방언]	NNG	00_00_00	베갯잇	9
비갯요	[명사][방언]	NNG	00_00_00	베갯잇	9
비갯이	[명사][방언]	NNG	00_00_00	베갯잇	8, 9
비까래	[명사][방언]	NNG	02_00_00	비탈밭	8, 9
비끌어지다	[동사][방언]	VV	02_00_00	비틀어지다	8, 9
비녹	[명사][방언]	NNG	00_00_00	비누	9
비누가루	[명사][방언]	NNG	00_00_00	가루비누	8, 9
비누룩	[명사][방언]	NNG	00_00_00	비듬	9
비눌가리	[명사][방언]	NNG	00_00_00	가리	9
비느럭지	[명사][방언]	NNG	00_00_00	비늘	8, 9
비달기	[명사][방언]	NNG	00_00_00	비둘기	8, 9
비덜기	[명사][방언]	NNG	00_00_00	비둘기	4, 7, 8, 9, 18
비들구	[명사][방언]	NNG	00_00_00	비둘기	8, 9
비등나무	[명사][방언]	NNG	00_00_00	떡갈나무	9
비똥	[명사][방언]	NNG	00_00_00	비석	8, 9
비람빡	[명사][방언]	NNG	00_00_00	바람벽	8, 9
비랑박	[명사][방언]	NNG	00_00_00	바람벽	8, 9
비랑빡	[명사][방언]	NNG	00_00_00	바람벽	8, 9
비럼시	[부사][방언]	MAG	00_00_00	비슷이	8, 9
비름박지	[명사][방언]	NNG	00_00_00	비렁뱅이	8, 9
비름잎	[명사][방언]	NNG	00_00_00	비름	9
비베다	[동사][방언]	VV	00_00_00	비비다	7, 8, 9
비비갈갈	[명사][방언]	NNG	00_00_00	비대발괄	9
비수름허다	[형용사][방언]	VA	00_00_00	비스름하다	8, 9
비시하다	[형용사][방언]	VA	00_00_00	비슷하다	8, 9, 18
비싯하다	[형용사][방언]	VA	02_00_00	비슷하다	5, 6, 7, 8, 9, 11, 12, 18, 20
비쓱하다	[형용사][방언]	VA	01_00_00	비슷하다	9
비씨락	[명사][방언]	NNG	00_00_00	빗자루	8, 9
비씩허다	[형용사][방언]	VA	00_00_00	비슷하다	8, 9
비암따왈	[명사][방언]	NNG	00_00_00	뱀딸기	9
비암딸	[명사][방언]	NNG	00_00_00	뱀딸기	8, 9, 12
비암딸광	[명사][방언]	NNG	00_00_00	뱀딸기	9
비암딸기	[명사][방언]	NNG	00_00_00	뱀딸기	9
비암때깔	[명사][방언]	NNG	00_00_00	뱀딸기	8, 9
비암때왈	[명사][방언]	NNG	00_00_00	뱀딸기	8, 9
비암자어	[명사][방언]	NNG	00_00_00	뱀장어	8, 9
비암장애	[명사][방언]	NNG	00_00_00	뱀장어	8, 9, 18
비암장어	[명사][방언]	NNG	00_00_00	뱀장어	8, 9
비앰	[명사][방언]	NNG	00_00_00	뱀	9
비얌	[명사][방언]	NNG	00_00_00	뱀	8, 9, 11, 12, 17, 18
비얌장어	[명사][방언]	NNG	00_00_00	뱀장어	9, 12
비얨	[명사][방언]	NNG	00_00_00	뱀	9
비억	[명사][방언]	NNG	00_00_00	부엌	4, 5, 7, 9, 12, 13, 14, 15, 17
비얼	[명사][방언]	NNG	00_00_00	별	4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 17
비응기	[명사][방언]	NNG	00_00_00	비행기	8, 9, 18
비젓이	[부사][방언]	MAG	00_00_00	비슷이	8, 9, 15, 16
비짜락	[명사][방언]	NNG	00_00_00	빗자루	8, 9
비쭈개	[명사][방언]	NNG	00_00_00	전복	8, 9
비찌락	[명사][방언]	NNG	00_00_00	빗자루	8, 9
비찌락질	[명사][방언]	NNG	00_00_00	비질	8, 9
비털가지	[명사][방언]	NNG	00_00_00	비탈	8, 9
빅돌	[명사][방언]	NNG	00_00_00	벽돌	8, 9, 18
빈닥	[명사][방언]	NNG	00_00_00	비탈	9
빈대머리	[명사][방언]	NNG	00_00_00	대머리	6, 7, 8, 9, 18, 20
빈탄지다	[형용사][방언]	VA	00_00_00	비탈지다	9
빈탈가지	[명사][방언]	NNG	00_00_00	비탈	8, 9
빈통머리	[명사][방언]	NNG	00_00_00	변통머리	8, 9
빈틀	[명사][방언]	NNG	00_00_00	비탈	8, 9
빌	[명사][방언]	NNG	01_00_00	벌	9
빌	[명사][방언]	NNG	04_00_00	별	4, 6, 7, 8, 9, 10, 11, 12, 15, 18, 20
빌똥	[명사][방언]	NNG	00_00_00	별똥별	7, 8, 9, 18, 20
빌로	[부사][방언]	MAG	00_00_00	별로	4, 6, 7, 8, 9
빌어묵을	[성상관형사][감탄사][방언]	MMA	00_00_00	빌어먹을	8, 9
빔서다	[동사][방언]	VV	00_00_00	비켜서다	8, 9
빙아리	[명사][방언]	NNG	00_00_00	병아리	4, 6, 7, 9, 10, 11, 12, 13, 14, 15, 19, 20
빝	[명사][방언]	NNG	01_00_00	볕	8, 9
빠깨미	[명사][방언]	NNG	00_00_00	바구미	9
